States,Years,Quarter,EntityName,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,2020,2,734006,3,565.0
andaman-&-nicobar-islands,2020,2,734006,2,513.0
andaman-&-nicobar-islands,2020,2,734006,1,282.0
andaman-&-nicobar-islands,2020,3,734006,9,3432.0
andaman-&-nicobar-islands,2020,3,734006,7,3948.0
andaman-&-nicobar-islands,2020,3,734006,5,2194.0
andaman-&-nicobar-islands,2020,3,734006,4,1620.0
andaman-&-nicobar-islands,2020,3,734006,3,1095.0
andaman-&-nicobar-islands,2020,3,734006,3,947.0
andaman-&-nicobar-islands,2020,3,734006,3,562.0
andaman-&-nicobar-islands,2020,3,734006,2,101.0
andaman-&-nicobar-islands,2020,3,734006,2,886.0
andaman-&-nicobar-islands,2020,3,734006,2,314.0
andaman-&-nicobar-islands,2020,4,734006,25,25659.0
andaman-&-nicobar-islands,2020,4,734006,23,29686.0
andaman-&-nicobar-islands,2020,4,734006,18,24904.0
andaman-&-nicobar-islands,2020,4,734006,17,25073.0
andaman-&-nicobar-islands,2020,4,734006,8,10459.0
andaman-&-nicobar-islands,2020,4,734006,6,4840.0
andaman-&-nicobar-islands,2020,4,734006,6,11659.0
andaman-&-nicobar-islands,2020,4,734006,4,10271.0
andaman-&-nicobar-islands,2020,4,734006,3,100.0
andaman-&-nicobar-islands,2020,4,734006,3,5235.0
andaman-&-nicobar-islands,2021,1,734006,47,53060.0
andaman-&-nicobar-islands,2021,1,734006,35,39985.0
andaman-&-nicobar-islands,2021,1,734006,33,24571.0
andaman-&-nicobar-islands,2021,1,734006,25,29635.0
andaman-&-nicobar-islands,2021,1,734006,12,17588.0
andaman-&-nicobar-islands,2021,1,734006,12,14085.0
andaman-&-nicobar-islands,2021,1,734006,9,7310.0
andaman-&-nicobar-islands,2021,1,734006,8,9253.0
andaman-&-nicobar-islands,2021,1,734006,7,11223.0
andaman-&-nicobar-islands,2021,1,734006,7,6612.0
andaman-&-nicobar-islands,2021,2,734006,36,33716.0
andaman-&-nicobar-islands,2021,2,734006,17,19787.0
andaman-&-nicobar-islands,2021,2,734006,15,17163.0
andaman-&-nicobar-islands,2021,2,734006,13,10326.0
andaman-&-nicobar-islands,2021,2,734006,10,10557.0
andaman-&-nicobar-islands,2021,2,734006,8,11459.0
andaman-&-nicobar-islands,2021,2,734006,6,9766.0
andaman-&-nicobar-islands,2021,2,734006,6,8889.0
andaman-&-nicobar-islands,2021,2,734006,6,12669.0
andaman-&-nicobar-islands,2021,2,734006,4,9430.0
andaman-&-nicobar-islands,2021,3,734006,70,82425.0
andaman-&-nicobar-islands,2021,3,734006,44,53909.0
andaman-&-nicobar-islands,2021,3,734006,26,29601.0
andaman-&-nicobar-islands,2021,3,734006,14,20616.0
andaman-&-nicobar-islands,2021,3,734006,13,20075.0
andaman-&-nicobar-islands,2021,3,734006,11,18134.0
andaman-&-nicobar-islands,2021,3,734006,11,14406.0
andaman-&-nicobar-islands,2021,3,734006,8,7247.0
andaman-&-nicobar-islands,2021,3,734006,6,6406.0
andaman-&-nicobar-islands,2021,3,734006,6,2221.0
andaman-&-nicobar-islands,2021,4,734006,194,232344.0
andaman-&-nicobar-islands,2021,4,734006,159,211326.0
andaman-&-nicobar-islands,2021,4,734006,133,168668.0
andaman-&-nicobar-islands,2021,4,734006,66,68931.0
andaman-&-nicobar-islands,2021,4,734006,32,53658.0
andaman-&-nicobar-islands,2021,4,734006,31,102213.0
andaman-&-nicobar-islands,2021,4,734006,24,31069.0
andaman-&-nicobar-islands,2021,4,734006,22,38599.0
andaman-&-nicobar-islands,2021,4,734006,21,23016.0
andaman-&-nicobar-islands,2021,4,734006,13,30437.0
andaman-&-nicobar-islands,2022,1,734006,174,226181.0
andaman-&-nicobar-islands,2022,1,734006,149,204646.0
andaman-&-nicobar-islands,2022,1,734006,137,218321.0
andaman-&-nicobar-islands,2022,1,734006,102,147402.0
andaman-&-nicobar-islands,2022,1,734006,36,39197.0
andaman-&-nicobar-islands,2022,1,734006,33,35406.0
andaman-&-nicobar-islands,2022,1,734006,28,36877.0
andaman-&-nicobar-islands,2022,1,734006,19,50799.0
andaman-&-nicobar-islands,2022,1,734006,16,33406.0
andaman-&-nicobar-islands,2022,1,734006,15,29159.0
andaman-&-nicobar-islands,2022,2,734006,97,156861.0
andaman-&-nicobar-islands,2022,2,734006,87,121168.0
andaman-&-nicobar-islands,2022,2,734006,78,137418.0
andaman-&-nicobar-islands,2022,2,734006,62,58453.0
andaman-&-nicobar-islands,2022,2,734006,26,32107.0
andaman-&-nicobar-islands,2022,2,734006,22,52244.0
andaman-&-nicobar-islands,2022,2,734006,19,25543.0
andaman-&-nicobar-islands,2022,2,734006,18,24391.0
andaman-&-nicobar-islands,2022,2,734006,14,28331.0
andaman-&-nicobar-islands,2022,2,734006,13,20817.0
andaman-&-nicobar-islands,2022,3,734006,151,198569.0
andaman-&-nicobar-islands,2022,3,734006,119,151539.0
andaman-&-nicobar-islands,2022,3,734006,101,106324.0
andaman-&-nicobar-islands,2022,3,734006,76,102757.0
andaman-&-nicobar-islands,2022,3,734006,31,35790.0
andaman-&-nicobar-islands,2022,3,734006,27,67604.0
andaman-&-nicobar-islands,2022,3,734006,27,53016.0
andaman-&-nicobar-islands,2022,3,734006,17,34250.0
andaman-&-nicobar-islands,2022,3,734006,16,29251.0
andaman-&-nicobar-islands,2022,3,734006,11,17184.0
andaman-&-nicobar-islands,2022,4,734006,199,299036.0
andaman-&-nicobar-islands,2022,4,734006,166,253344.0
andaman-&-nicobar-islands,2022,4,734006,146,163498.0
andaman-&-nicobar-islands,2022,4,734006,80,98862.0
andaman-&-nicobar-islands,2022,4,734006,43,68397.0
andaman-&-nicobar-islands,2022,4,734006,38,73829.0
andaman-&-nicobar-islands,2022,4,734006,31,55827.0
andaman-&-nicobar-islands,2022,4,734006,27,56611.0
andaman-&-nicobar-islands,2022,4,734006,27,59500.0
andaman-&-nicobar-islands,2022,4,734006,25,42024.0
andaman-&-nicobar-islands,2023,1,734006,236,286594.0
andaman-&-nicobar-islands,2023,1,734006,206,233281.0
andaman-&-nicobar-islands,2023,1,734006,164,256300.0
andaman-&-nicobar-islands,2023,1,734006,117,134841.0
andaman-&-nicobar-islands,2023,1,734006,30,54849.0
andaman-&-nicobar-islands,2023,1,734006,30,58745.0
andaman-&-nicobar-islands,2023,1,734006,29,49945.0
andaman-&-nicobar-islands,2023,1,734006,29,64193.0
andaman-&-nicobar-islands,2023,1,734006,27,40580.0
andaman-&-nicobar-islands,2023,1,734006,24,29149.0
andaman-&-nicobar-islands,2023,2,734006,171,341853.0
andaman-&-nicobar-islands,2023,2,734006,166,255069.0
andaman-&-nicobar-islands,2023,2,734006,134,189989.0
andaman-&-nicobar-islands,2023,2,734006,82,101875.0
andaman-&-nicobar-islands,2023,2,734006,27,34345.0
andaman-&-nicobar-islands,2023,2,734006,25,41299.0
andaman-&-nicobar-islands,2023,2,734006,22,43459.0
andaman-&-nicobar-islands,2023,2,734006,21,20427.0
andaman-&-nicobar-islands,2023,2,734006,20,24693.0
andaman-&-nicobar-islands,2023,2,734006,17,31404.0
andaman-&-nicobar-islands,2023,3,734006,191,306744.0
andaman-&-nicobar-islands,2023,3,734006,147,212575.0
andaman-&-nicobar-islands,2023,3,734006,143,213581.0
andaman-&-nicobar-islands,2023,3,734006,100,120875.0
andaman-&-nicobar-islands,2023,3,734006,35,60750.0
andaman-&-nicobar-islands,2023,3,734006,30,50544.0
andaman-&-nicobar-islands,2023,3,734006,26,46075.0
andaman-&-nicobar-islands,2023,3,734006,18,34636.0
andaman-&-nicobar-islands,2023,3,734006,16,25131.0
andaman-&-nicobar-islands,2023,3,734006,16,24369.0
andhra-pradesh,2020,2,734006,540,86088.0
andhra-pradesh,2020,2,734006,437,71761.0
andhra-pradesh,2020,2,734006,339,55455.0
andhra-pradesh,2020,2,734006,322,50705.0
andhra-pradesh,2020,2,734006,301,46454.0
andhra-pradesh,2020,2,734006,279,43236.0
andhra-pradesh,2020,2,734006,262,41153.0
andhra-pradesh,2020,2,734006,259,43013.0
andhra-pradesh,2020,2,734006,258,43311.0
andhra-pradesh,2020,2,734006,250,43610.0
andhra-pradesh,2020,3,734006,968,195870.0
andhra-pradesh,2020,3,734006,795,165322.0
andhra-pradesh,2020,3,734006,777,172113.0
andhra-pradesh,2020,3,734006,776,201732.0
andhra-pradesh,2020,3,734006,746,161284.0
andhra-pradesh,2020,3,734006,663,143659.0
andhra-pradesh,2020,3,734006,661,156016.0
andhra-pradesh,2020,3,734006,608,128862.0
andhra-pradesh,2020,3,734006,542,116222.0
andhra-pradesh,2020,3,734006,532,135236.0
andhra-pradesh,2020,4,734006,292,120291.0
andhra-pradesh,2020,4,734006,260,110284.0
andhra-pradesh,2020,4,734006,234,139080.0
andhra-pradesh,2020,4,734006,233,101891.0
andhra-pradesh,2020,4,734006,228,123376.0
andhra-pradesh,2020,4,734006,215,132499.0
andhra-pradesh,2020,4,734006,211,99952.0
andhra-pradesh,2020,4,734006,201,102846.0
andhra-pradesh,2020,4,734006,196,110129.0
andhra-pradesh,2020,4,734006,181,79955.0
andhra-pradesh,2021,1,734006,287,144342.0
andhra-pradesh,2021,1,734006,258,130242.0
andhra-pradesh,2021,1,734006,250,114038.0
andhra-pradesh,2021,1,734006,249,105904.0
andhra-pradesh,2021,1,734006,224,135466.0
andhra-pradesh,2021,1,734006,215,169433.0
andhra-pradesh,2021,1,734006,210,85999.0
andhra-pradesh,2021,1,734006,178,127092.0
andhra-pradesh,2021,1,734006,178,100699.0
andhra-pradesh,2021,1,734006,177,70827.0
andhra-pradesh,2021,2,734006,1409,631953.0
andhra-pradesh,2021,2,734006,537,293906.0
andhra-pradesh,2021,2,734006,374,208258.0
andhra-pradesh,2021,2,734006,347,265432.0
andhra-pradesh,2021,2,734006,323,204624.0
andhra-pradesh,2021,2,734006,293,124158.0
andhra-pradesh,2021,2,734006,284,112884.0
andhra-pradesh,2021,2,734006,271,168382.0
andhra-pradesh,2021,2,734006,268,144765.0
andhra-pradesh,2021,2,734006,262,130466.0
andhra-pradesh,2021,3,734006,299,246736.0
andhra-pradesh,2021,3,734006,283,194552.0
andhra-pradesh,2021,3,734006,282,246665.0
andhra-pradesh,2021,3,734006,281,218927.0
andhra-pradesh,2021,3,734006,281,190890.0
andhra-pradesh,2021,3,734006,276,201084.0
andhra-pradesh,2021,3,734006,252,185104.0
andhra-pradesh,2021,3,734006,247,181981.0
andhra-pradesh,2021,3,734006,234,183730.0
andhra-pradesh,2021,3,734006,230,154696.0
andhra-pradesh,2021,4,734006,568,468698.0
andhra-pradesh,2021,4,734006,373,385590.0
andhra-pradesh,2021,4,734006,372,394057.0
andhra-pradesh,2021,4,734006,365,376592.0
andhra-pradesh,2021,4,734006,301,298417.0
andhra-pradesh,2021,4,734006,293,386711.0
andhra-pradesh,2021,4,734006,254,242094.0
andhra-pradesh,2021,4,734006,249,252587.0
andhra-pradesh,2021,4,734006,238,269565.0
andhra-pradesh,2021,4,734006,235,238426.0
andhra-pradesh,2022,1,734006,501,553651.0
andhra-pradesh,2022,1,734006,418,422786.0
andhra-pradesh,2022,1,734006,365,352581.0
andhra-pradesh,2022,1,734006,361,617403.0
andhra-pradesh,2022,1,734006,352,477461.0
andhra-pradesh,2022,1,734006,349,394098.0
andhra-pradesh,2022,1,734006,346,403725.0
andhra-pradesh,2022,1,734006,307,312518.0
andhra-pradesh,2022,1,734006,297,370767.0
andhra-pradesh,2022,1,734006,294,413180.0
andhra-pradesh,2022,2,734006,394,411471.0
andhra-pradesh,2022,2,734006,379,457895.0
andhra-pradesh,2022,2,734006,376,510705.0
andhra-pradesh,2022,2,734006,363,390709.0
andhra-pradesh,2022,2,734006,359,347013.0
andhra-pradesh,2022,2,734006,347,400810.0
andhra-pradesh,2022,2,734006,344,354936.0
andhra-pradesh,2022,2,734006,336,298809.0
andhra-pradesh,2022,2,734006,318,410402.0
andhra-pradesh,2022,2,734006,306,355690.0
andhra-pradesh,2022,3,734006,485,506293.0
andhra-pradesh,2022,3,734006,478,633331.0
andhra-pradesh,2022,3,734006,477,602653.0
andhra-pradesh,2022,3,734006,463,496114.0
andhra-pradesh,2022,3,734006,444,463855.0
andhra-pradesh,2022,3,734006,443,510288.0
andhra-pradesh,2022,3,734006,421,437652.0
andhra-pradesh,2022,3,734006,420,408060.0
andhra-pradesh,2022,3,734006,411,343460.0
andhra-pradesh,2022,3,734006,392,408836.0
andhra-pradesh,2022,4,734006,596,856272.0
andhra-pradesh,2022,4,734006,550,602897.0
andhra-pradesh,2022,4,734006,543,549451.0
andhra-pradesh,2022,4,734006,488,441856.0
andhra-pradesh,2022,4,734006,457,650737.0
andhra-pradesh,2022,4,734006,416,288926.0
andhra-pradesh,2022,4,734006,416,588408.0
andhra-pradesh,2022,4,734006,413,432671.0
andhra-pradesh,2022,4,734006,407,369435.0
andhra-pradesh,2022,4,734006,407,458462.0
andhra-pradesh,2023,1,734006,468,848915.0
andhra-pradesh,2023,1,734006,463,635433.0
andhra-pradesh,2023,1,734006,456,788976.0
andhra-pradesh,2023,1,734006,407,518326.0
andhra-pradesh,2023,1,734006,396,538812.0
andhra-pradesh,2023,1,734006,383,483768.0
andhra-pradesh,2023,1,734006,377,446022.0
andhra-pradesh,2023,1,734006,367,455958.0
andhra-pradesh,2023,1,734006,353,481246.0
andhra-pradesh,2023,1,734006,345,417747.0
andhra-pradesh,2023,2,734006,616,969092.0
andhra-pradesh,2023,2,734006,537,696700.0
